,itemLabel,lat,lon,address,url,thingLabel,description,fetched_coordinates,tier,color
1,Beethoven Monument ,50.73434,7.09914,Münsterplatz , ,See,A large bronze statue of Ludwig van Beethoven on the Münsterplatz that was unveiled on 12 August 1845 in honour of the 75th anniversary of the composer's birth.,"(50.73434, 7.09914)",wikivoyage,red
0,Kreuzbergkirche ,50.71433,7.0802,Stationsweg 21 ,http://www.kreuzberg-bonn.de/ ,See,"The church is a beautiful example of baroque architecture. Today, the church serves as both a church and a German language and culture school, but is probably best known for the ""Heiliger Steige."" The church was erected in 1627/1628 on the orders of the archbishop to replace an older chapel. In 1746 Elector Clemens August von Bavarian donated the ""Heiliger Steige"", or holy staircase, which, according to legend has pieces of the cross the crucified Jesus set into the stone. Small brass crosses on the second, eleventh, and last steps mark the spots where the pieces of the cross are supposed to be set. Beautiful view over Bonn.","(50.71433, 7.0802)",wikivoyage,red
1,Universität Bonn ,50.7338,7.10222,Regina Pacis Weg 3 ,https://www.uni-bonn.de/en/ ,See,"It is in the former residential palace of the Archbishop and Kurfürst of Cologne, built by Enrico Zuccalli from 1697-1705. It stretches from Kaiserplatz to the Rhine (Alter Zoll) and crosses two streets (Stockenstraße and Adenauerallee), the gates are called Stockentor and Koblenzer Tor. The building looks impressive and beautiful from the outside, but could use a renovation inside. Feel free to walk in. Best view on the palace is from the Hofgarten side. The Hofgarten is a park directly in front of the palace and a place for students to meet and relax in the summer between and after lectures. During Bonn's times as capital, it saw all the major anti-government demonstrations.","(50.7338, 7.10222)",wikivoyage,red
0,Poppelsdorfer Schloss and Botanical Gardens ,50.72505,7.09228,Crossing of Poppelsdorfer and Meckenheimer Allee ,https://www.botgart.uni-bonn.de/en ,See,"It was built as a resort in rococo style for the Archbishop of Cologne Clemens August from 1715 to 1753 by Robert de Cotte and today houses the university's mineral collection, several science departments and the botanical gardens. The palace itself is not open to the public. The botanical gardens next to the palace are a peaceful and beautiful place to relax, have a look at the sunbathing turtles at the pool. The gardens cultivate about 10,000 plant species. Coming from the city centre, walk there from the University Main Building via Kaiserplatz and Poppelsdorfer Allee.","(50.72505, 7.09228)",wikivoyage,red
1,Alter Friedhof ,50.73563,7.09063,Berliner Platz , ,See,"The old cemetery, created in 1715, is an atmospheric cemetery with many old graves, among them the graves of Robert and Clara Schumann, Ernst Moritz Arndt, Friedrich Schiller's wife Charlotte von Schiller and their son.","(50.73563, 7.09063)",wikivoyage,red
2,Doppelkirche in Schwarzrheindorf ,50.75067,7.11488,Dixstr. 41 ,http://www.sacred-destinations.com/germany/bonn-schwarzrheindorf-church.htm ,See,"The double church St. Maria (upper level) and St. Clemens (lower level) was built in 1151 and is due to its rich ceiling paintings of saints and apocalyptic scenes one of the most outstanding romanic churches in Germany. Take Bus no. 640 or 550 to Schwarzrheindorf. You can walk back to Bonn Beuel or Bonn's city centre by following the dam and crossing the Kennedy bridge, it is a popular promenade. Take a break at Bahnhöfchen or Rheinlust near the bridge.","(50.75067, 7.11488)",wikivoyage,red
3,Jewish Cemetery ,50.75721,7.1057, , ,See,"The old and small Jewish Cemetery is in Bonn Schwarzrheindorf between the Doppelkirche and the North Bridge, you can access it from the dam which is a popular promenade.","(50.75721, 7.1057)",wikivoyage,red
4,Rheinauen ,50.71143,7.14488, , ,See,"A big park in the south of Bonn directly behind the Post Tower. You can walk there from the city centre following the rhine promenade, it is about 3 km and very popular on the weekend.","(50.71143, 7.14488)",wikivoyage,red
0,Deutsche Welle Headquarters and Radio Studios ,50.71745,7.1274,Kurt-Schumacher-Straße 3 ,"http://www.dw-world.de/dw/0,2142,6129,00.html ",See,"Deutsche Welle (DW) is Germany's international media outlet and is now housed in what was supposed to be the German parliament's home. After the German government decided to move the building was taken over by DW to become its headquarters and home to its radio operations. Tours are conducted in German, however, tours can be arranged in English, French, Spanish, or Portuguese when requested in advance. DW asks that anyone wishing to take a tour reserve at least two months in advance and may require you to be with a group of 6-20 persons, however, they may arrange an exception if contacted. Tours last an average of two hours.","(50.71745, 7.1274)",wikivoyage,red
1,Kottenforst ,50.6677,7.0227, , ,See,"A big nature park between Bonn (quarters Venusberg, Bad Godesberg) up to the cities of Euskirchen and Wachtberg. It is appr. 4 000 ha and popular for walking tours. The nearest ones starts at Waldesruh on Venusberg (which has also a nice cafe). Another route starts at Bahnhof Kottenforst (a pretty frame house) which you can reach by taking a train to Euskirchen, but the train only stops there on weekends).","(50.6677, 7.0227)",wikivoyage,red
0,Palais Schaumburg ,50.72139,7.11806,Adenauerallee 139/141 , ,See,"Until 2001 it was used to house the office of West Germany's chancellor and the chancellor's cabinet. Today, the building is used as a secondary headquarters for the chancellor.","(50.72139, 7.11806)",wikivoyage,red
0,Villa Hammerschmidt ,50.72276,7.11755,Adenauerallee 135 , ,See,"Between 1951-1994 the Villa Hammerschmidt served as the residence of the West German President, however, since the relocation of the German government to Berlin the building serves as a secondary residence for the president.","(50.72276, 7.11755)",wikivoyage,red
0,Ägyptisches Museum ,50.73462,7.10623,Regina-Pacis-Weg 7 ,http://www.aegyptisches-museum.uni-bonn.de/ ,See,"The University of Bonn-administered Egyptian Museum. As of August 2023, the museum is closed due to a major renovation of the University main building. The collection will be on display in Poststraße 26 / In der Sürst 8–10 and is expected to reopen in the fourth quarter 2024.of","(50.73462, 7.10623)",wikivoyage,red
1,Akademisches Kunstmuseum ,50.75189,7.09626,"Römerstraße 164, 53117 Bonn ",https://www.antikensammlung.uni-bonn.de/ ,See,"The Academic Museum of Art is at the other end of the Hofgarten park, directly opposite the main building. It is a beautiful building, constructed from 1823-1830 and designed by Karl Friedrich Schinkel and Hermann Friedrich Waesemann, and hosts one of the largest collections of plaster casts of ancient Greek and Roman sculptures in the world.<br />As of January 2022, the museum is closed for renovation, and the collection is housed in the north of the city (AVZIII, Römerstrasse 164).","(50.75189, 7.09626)",wikivoyage,red
2,Arithmeum ,50.73071,7.10508,"Lennéstraße 2, 53113 Bonn ",http://www.arithmeum.uni-bonn.de/en/arithmeum/museum.html ,See,"The Arithmeum features a collection of historical mechanical calculating machines, which today comprises more than 1200 pieces and is the largest in the world. It features the history of calculators, from ancient abacuses and ropes with knots, until the modern day PC. The design of the building and its colourful art collection are an added bonus.","(50.73071, 7.10508)",wikivoyage,red
0,Beethoven-Haus ,50.7369,7.10179,Bonngasse 18-26 ,https://www.beethoven.de/en/museum ,See,The birthplace of the great composer is now a museum dedicated to his life and work. The museum even has a lock of Beethoven's hair on display. Bonn advertises its connection with its native son despite Beethoven's vehement hatred for his hometown. With a competent docent this museum is well worth the visit and is more interesting than Mozart's Geburtshaus in [[Salzburg (city),"(50.7369, 7.10179)",wikivoyage,red
1,August Macke Haus ,50.73746,7.08678,Bornheimer Straße 96 ,http://www.august-macke-haus.de/en/ ,See,"August Macke, a leading member of Der Blaue Reiter, a famous expressionist group, lived in this house with his wife, Elizabeth, for a few years and produced over 400 works in the top floor studio.","(50.73746, 7.08678)",wikivoyage,red
0,Haus der Geschichte ,50.71761,7.11904,Willy-Brandt-Allee 14 ,https://www.hdg.de/en/haus-der-geschichte ,See,"An interesting explanation of German history after 1945 that is constantly updated. A must if you are interested in history or politics. Exhibitions are presented in German only, but audio guides are available in English, guide booklets with English translations are available for a couple euros, and guided tours for school groups conducted in English are available free of charge when prebooked.","(50.71761, 7.11904)",wikivoyage,red
1,Kunstmuseum Bonn ,50.71524,7.12074,Friedrich-Ebert-Allee 2 ,https://www.kunstmuseum-bonn.de/en/ ,See,Modern art museum with a large and interesting collection as well as a good cafe.,"(50.71524, 7.12074)",wikivoyage,red
2,Kunst- und Ausstellungshalle der Bundesrepublik Deutschland ,50.71397,7.12214,Friedrich-Ebert-Allee 4 ,https://www.bundeskunsthalle.de/en/ ,See,It hosts changing exhibitions which range from visual art and cultural history up to science and technology. Most of them are world class and definitely worth a visit.,"(50.71397, 7.12214)",wikivoyage,red
3,Deutsches Museum Bonn ,50.69895,7.15113,Ahrstraße 45 ,https://www.deutsches-museum.de/en/bonn ,See,The Deutsches Museum Bonn is an offshoot of the famous Deutsches Museum in Munich (its only branch outside the Munich area) and features about 100 contemporary exhibits of science and technology.,"(50.69895, 7.15113)",wikivoyage,red
4,Zoologisches Forschungsmuseum Alexander Koenig ,50.72222,7.11388,Adenauerallee 160 ,https://bonn.leibniz-lib.de/en/museum ,See,"Natural history museum and zoological research institution, named after Alexander Koenig, who donated his collection of specimens to the institution. The museum was opened in 1934 and is affiliated with the Leibniz Association. On September 1, 1948, the Parlamentarischer Rat, the organ to create the German constitution, was opened here. The actual proceedings happened in the nearby Pädagogische Akademie, the later Bundeshaus.","(50.72222, 7.11388)",wikivoyage,red
5,Frauenmuseum ,50.7407,7.09246,"Im Krausfeld 10, 53113 Bonn ",http://www.frauenmuseum.de/ ,See,The first museum in Europe dedicated to women and their work. Changing exhibitions.,"(50.7407, 7.09246)",wikivoyage,red
6,Heimatmuseum Beuel ,50.7354,7.11818,"Wagnergasse 2-4, 53225 Bonn ",http://www.hgv-beuel.de/ ,See,Museum on local history. The museum was established in 1986 on the initiative of Beuel's Local Historical Society.,"(50.7354, 7.11818)",wikivoyage,red
7,Rheinisches Landesmuseum ,50.7319,7.0925,"Colmantstr. 14-16, 53115 Bonn ",https://landesmuseum-bonn.lvr.de/en/startseite/startseite.htmlf ,See,"Museum of art and archeology, run by the Rhineland Landscape Association. Check their webpage for information about the temporary exhibitions besides their permanent exhibits.","(50.7319, 7.0925)",wikivoyage,red
8,Regierungsbunker ,50.53922,7.08185,"Am Silberberg 0, 53474 Bad Neuenahr-Ahrweiler ",https://www.regbu.de/Fremdsprachen/GB1.html ,See,"Cold War bunker for the German Government and Bundeswehr to protect them against nuclear attack, located in Bad Neuenahr-Ahrweiler, approx. 35 km south of Bonn. Regular tours last 90min and are in German only. You can only visit as part of a tour.","(50.53922, 7.08185)",wikivoyage,red
0,Palais Schaumburg ,50.72139,7.11806,Adenauerallee 139/141 , ,See_The former capital,"Until 2001 it was used to house the office of West Germany's chancellor and the chancellor's cabinet. Today, the building is used as a secondary headquarters for the chancellor.","(50.72139, 7.11806)",wikivoyage,red
0,Villa Hammerschmidt ,50.72276,7.11755,Adenauerallee 135 , ,See_The former capital,"Between 1951-1994 the Villa Hammerschmidt served as the residence of the West German President, however, since the relocation of the German government to Berlin the building serves as a secondary residence for the president.","(50.72276, 7.11755)",wikivoyage,red
0,Ägyptisches Museum ,50.73462,7.10623,Regina-Pacis-Weg 7 ,http://www.aegyptisches-museum.uni-bonn.de/ ,See_Museums and galleries,"The University of Bonn-administered Egyptian Museum. As of August 2023, the museum is closed due to a major renovation of the University main building. The collection will be on display in Poststraße 26 / In der Sürst 8–10 and is expected to reopen in the fourth quarter 2024.of","(50.73462, 7.10623)",wikivoyage,red
1,Akademisches Kunstmuseum ,50.75189,7.09626,"Römerstraße 164, 53117 Bonn ",https://www.antikensammlung.uni-bonn.de/ ,See_Museums and galleries,"The Academic Museum of Art is at the other end of the Hofgarten park, directly opposite the main building. It is a beautiful building, constructed from 1823-1830 and designed by Karl Friedrich Schinkel and Hermann Friedrich Waesemann, and hosts one of the largest collections of plaster casts of ancient Greek and Roman sculptures in the world.<br />As of January 2022, the museum is closed for renovation, and the collection is housed in the north of the city (AVZIII, Römerstrasse 164).","(50.75189, 7.09626)",wikivoyage,red
2,Arithmeum ,50.73071,7.10508,"Lennéstraße 2, 53113 Bonn ",http://www.arithmeum.uni-bonn.de/en/arithmeum/museum.html ,See_Museums and galleries,"The Arithmeum features a collection of historical mechanical calculating machines, which today comprises more than 1200 pieces and is the largest in the world. It features the history of calculators, from ancient abacuses and ropes with knots, until the modern day PC. The design of the building and its colourful art collection are an added bonus.","(50.73071, 7.10508)",wikivoyage,red
0,Beethoven-Haus ,50.7369,7.10179,Bonngasse 18-26 ,https://www.beethoven.de/en/museum ,See_Museums and galleries,The birthplace of the great composer is now a museum dedicated to his life and work. The museum even has a lock of Beethoven's hair on display. Bonn advertises its connection with its native son despite Beethoven's vehement hatred for his hometown. With a competent docent this museum is well worth the visit and is more interesting than Mozart's Geburtshaus in [[Salzburg (city),"(50.7369, 7.10179)",wikivoyage,red
1,August Macke Haus ,50.73746,7.08678,Bornheimer Straße 96 ,http://www.august-macke-haus.de/en/ ,See_Museums and galleries,"August Macke, a leading member of Der Blaue Reiter, a famous expressionist group, lived in this house with his wife, Elizabeth, for a few years and produced over 400 works in the top floor studio.","(50.73746, 7.08678)",wikivoyage,red
0,Haus der Geschichte ,50.71761,7.11904,Willy-Brandt-Allee 14 ,https://www.hdg.de/en/haus-der-geschichte ,See_Museums and galleries,"An interesting explanation of German history after 1945 that is constantly updated. A must if you are interested in history or politics. Exhibitions are presented in German only, but audio guides are available in English, guide booklets with English translations are available for a couple euros, and guided tours for school groups conducted in English are available free of charge when prebooked.","(50.71761, 7.11904)",wikivoyage,red
1,Kunstmuseum Bonn ,50.71524,7.12074,Friedrich-Ebert-Allee 2 ,https://www.kunstmuseum-bonn.de/en/ ,See_Museums and galleries,Modern art museum with a large and interesting collection as well as a good cafe.,"(50.71524, 7.12074)",wikivoyage,red
2,Kunst- und Ausstellungshalle der Bundesrepublik Deutschland ,50.71397,7.12214,Friedrich-Ebert-Allee 4 ,https://www.bundeskunsthalle.de/en/ ,See_Museums and galleries,It hosts changing exhibitions which range from visual art and cultural history up to science and technology. Most of them are world class and definitely worth a visit.,"(50.71397, 7.12214)",wikivoyage,red
3,Deutsches Museum Bonn ,50.69895,7.15113,Ahrstraße 45 ,https://www.deutsches-museum.de/en/bonn ,See_Museums and galleries,The Deutsches Museum Bonn is an offshoot of the famous Deutsches Museum in Munich (its only branch outside the Munich area) and features about 100 contemporary exhibits of science and technology.,"(50.69895, 7.15113)",wikivoyage,red
4,Zoologisches Forschungsmuseum Alexander Koenig ,50.72222,7.11388,Adenauerallee 160 ,https://bonn.leibniz-lib.de/en/museum ,See_Museums and galleries,"Natural history museum and zoological research institution, named after Alexander Koenig, who donated his collection of specimens to the institution. The museum was opened in 1934 and is affiliated with the Leibniz Association. On September 1, 1948, the Parlamentarischer Rat, the organ to create the German constitution, was opened here. The actual proceedings happened in the nearby Pädagogische Akademie, the later Bundeshaus.","(50.72222, 7.11388)",wikivoyage,red
5,Frauenmuseum ,50.7407,7.09246,"Im Krausfeld 10, 53113 Bonn ",http://www.frauenmuseum.de/ ,See_Museums and galleries,The first museum in Europe dedicated to women and their work. Changing exhibitions.,"(50.7407, 7.09246)",wikivoyage,red
6,Heimatmuseum Beuel ,50.7354,7.11818,"Wagnergasse 2-4, 53225 Bonn ",http://www.hgv-beuel.de/ ,See_Museums and galleries,Museum on local history. The museum was established in 1986 on the initiative of Beuel's Local Historical Society.,"(50.7354, 7.11818)",wikivoyage,red
7,Rheinisches Landesmuseum ,50.7319,7.0925,"Colmantstr. 14-16, 53115 Bonn ",https://landesmuseum-bonn.lvr.de/en/startseite/startseite.htmlf ,See_Museums and galleries,"Museum of art and archeology, run by the Rhineland Landscape Association. Check their webpage for information about the temporary exhibitions besides their permanent exhibits.","(50.7319, 7.0925)",wikivoyage,red
8,Regierungsbunker ,50.53922,7.08185,"Am Silberberg 0, 53474 Bad Neuenahr-Ahrweiler ",https://www.regbu.de/Fremdsprachen/GB1.html ,See_Museums and galleries,"Cold War bunker for the German Government and Bundeswehr to protect them against nuclear attack, located in Bad Neuenahr-Ahrweiler, approx. 35 km south of Bonn. Regular tours last 90min and are in German only. You can only visit as part of a tour.","(50.53922, 7.08185)",wikivoyage,red
0,Karneval ,50.8132246,6.293555136703965, , ,Do,"Enthusiastically celebrated in Bonn, especially on 11 November, the begin of the 'fifth season', and between Weiberfastnacht and Rosenmontag in February (peak time, the exact dates differ every year). The best parties are in Bonn Beuel at Bahnhöfchen and Rheinlust, be there early (and costumed, of course!). Bonn's central carneval parade (Karnevalszug) is on Monday (Rosenmontag), but there are also parades in the different suburbs where it is not so crowded and you might catch more sweets (Kamelle).","(50.8132246, 6.293555136703965)",wikivoyage,red
1,Rhein in Flammen ,0.0,0.0, ,https://www.rhein-in-flammen.com/home_gb.html ,Do,"Rhein in Flammen is an annual fireworks display event synchronized with music, over the river Rhein. It takes place at five different locations between May and September. In Bonn, it usually takes place on the first Saturday in May. The most popular spot to watch it is the Rheinauen, where a big fair with music and food stalls is taking place, although it can become very crowded. Another opportunity is to book a ship tour in advance (often with dinner), you will get tickets at the Brassertufer (Rhine promenade, near Kennedy Bridge).","(0, 0)",wikivoyage,red
2,Beethovenfest ,0.0,0.0, ,https://www.beethovenfest.de/en/ ,Do,A month-long music festival in September with numerous concerts held in Bonn and around the Siebengebirge region. Many international musicians are showcased during the festival.,"(0, 0)",wikivoyage,red
3,Pützchens Markt ,50.74290875,7.154868551560713, ,http://www.puetzchens-markt.de/ ,Do,A big fun fair with approximately 500 businesses in Bonn's suburb Pützchen which takes place in September for five days. You can catch buses at the main bus station next to the Hauptbahnhof. Mid-September.,"(50.74290875, 7.154868551560713)",wikivoyage,red
4,Christmas Market ,33.5901987,130.4009596, , ,Do,"Starts at the end of November at Münsterplatz and Friedensplatz and the streets in between. The booths for mulled wine are a popular meeting place in the evening, but they close at 21.","(33.5901987, 130.4009596)",wikivoyage,red
0,Oper Bonn ,50.73657,7.10712,Am Boeselagerhof 1 ,http://www.theater-bonn.de/ ,Do,"Hosts classical music concerts, opera and dance. Check their website for a recent playing schedule. You can get tickets at the Theaterkasse, Windeckstr. 1, next to Münsterplatz from M-Sa 09:00-18:30, Sa 09:00-16:00. Box office opens 1 hour before the performance begins. Ticket prices are moderate, especially for students.","(50.73657, 7.10712)",wikivoyage,red
1,Beethoven Orchester Bonn ,50.74087,7.10539,Wachsbleiche 1 ,http://www.beethoven-orchester.de/ ,Do,,"(50.74087, 7.10539)",wikivoyage,red
2,Bonner Kammerchor ,0.0,0.0, ,http://www.bonner-kammerchor.de/ ,Do,An amateur chamber choir made up of roughly forty members. The choir occasionally hosts free shows.,"(0, 0)",wikivoyage,red
0,Kinopolis ,50.686295,7.154979,"Moltkestraße 7-9, Bad Godesberg ",http://www.kinopolis.de/bn ,Do,A functional multiplex in Bad Godesberg that shows one or two Films in the Original Version a day. Special prices Mon-W and for students.,"(50.686295, 7.154979)",wikivoyage,red
1,Bonner Kinemathek ,50.74098,7.123484,Kreuzstraße 16 ,http://www.bonnerkinemathek.de/ ,Do,A small arthouse cinema in Bonn Beuel that regular shows European films (also older ones) in the original version (not necessarily English).,"(50.74098, 7.123484)",wikivoyage,red
2,Rex ,50.72741,7.07477,Frongasse 9 ,http://www.rex-filmbuehne.de/ ,Do,Arthouse cinema in Bonn Endenich which regularly shows movies in the original version.,"(50.72741, 7.07477)",wikivoyage,red
3,Neue Filmbühne ,50.73937,7.12099, ,http://www.rex-filmbuehne.de/ ,Do,Arthouse cinema in Bonn Beuel (Friedrich-Breuer Straße 68) which regularly shows movies in the original version.,"(50.73937, 7.12099)",wikivoyage,red
0,Karneval ,50.8132246,6.293555136703965, , ,Do_Festivals,"Enthusiastically celebrated in Bonn, especially on 11 November, the begin of the 'fifth season', and between Weiberfastnacht and Rosenmontag in February (peak time, the exact dates differ every year). The best parties are in Bonn Beuel at Bahnhöfchen and Rheinlust, be there early (and costumed, of course!). Bonn's central carneval parade (Karnevalszug) is on Monday (Rosenmontag), but there are also parades in the different suburbs where it is not so crowded and you might catch more sweets (Kamelle).","(50.8132246, 6.293555136703965)",wikivoyage,red
1,Rhein in Flammen ,0.0,0.0, ,https://www.rhein-in-flammen.com/home_gb.html ,Do_Festivals,"Rhein in Flammen is an annual fireworks display event synchronized with music, over the river Rhein. It takes place at five different locations between May and September. In Bonn, it usually takes place on the first Saturday in May. The most popular spot to watch it is the Rheinauen, where a big fair with music and food stalls is taking place, although it can become very crowded. Another opportunity is to book a ship tour in advance (often with dinner), you will get tickets at the Brassertufer (Rhine promenade, near Kennedy Bridge).","(0, 0)",wikivoyage,red
2,Beethovenfest ,0.0,0.0, ,https://www.beethovenfest.de/en/ ,Do_Festivals,A month-long music festival in September with numerous concerts held in Bonn and around the Siebengebirge region. Many international musicians are showcased during the festival.,"(0, 0)",wikivoyage,red
3,Pützchens Markt ,50.74290875,7.154868551560713, ,http://www.puetzchens-markt.de/ ,Do_Festivals,A big fun fair with approximately 500 businesses in Bonn's suburb Pützchen which takes place in September for five days. You can catch buses at the main bus station next to the Hauptbahnhof. Mid-September.,"(50.74290875, 7.154868551560713)",wikivoyage,red
4,Christmas Market ,33.5901987,130.4009596, , ,Do_Festivals,"Starts at the end of November at Münsterplatz and Friedensplatz and the streets in between. The booths for mulled wine are a popular meeting place in the evening, but they close at 21.","(33.5901987, 130.4009596)",wikivoyage,red
0,Oper Bonn ,50.73657,7.10712,Am Boeselagerhof 1 ,http://www.theater-bonn.de/ ,Do_Music and theatre,"Hosts classical music concerts, opera and dance. Check their website for a recent playing schedule. You can get tickets at the Theaterkasse, Windeckstr. 1, next to Münsterplatz from M-Sa 09:00-18:30, Sa 09:00-16:00. Box office opens 1 hour before the performance begins. Ticket prices are moderate, especially for students.","(50.73657, 7.10712)",wikivoyage,red
1,Beethoven Orchester Bonn ,50.74087,7.10539,Wachsbleiche 1 ,http://www.beethoven-orchester.de/ ,Do_Music and theatre,,"(50.74087, 7.10539)",wikivoyage,red
2,Bonner Kammerchor ,0.0,0.0, ,http://www.bonner-kammerchor.de/ ,Do_Music and theatre,An amateur chamber choir made up of roughly forty members. The choir occasionally hosts free shows.,"(0, 0)",wikivoyage,red
0,Kinopolis ,50.686295,7.154979,"Moltkestraße 7-9, Bad Godesberg ",http://www.kinopolis.de/bn ,Do_Cinema,A functional multiplex in Bad Godesberg that shows one or two Films in the Original Version a day. Special prices Mon-W and for students.,"(50.686295, 7.154979)",wikivoyage,red
1,Bonner Kinemathek ,50.74098,7.123484,Kreuzstraße 16 ,http://www.bonnerkinemathek.de/ ,Do_Cinema,A small arthouse cinema in Bonn Beuel that regular shows European films (also older ones) in the original version (not necessarily English).,"(50.74098, 7.123484)",wikivoyage,red
2,Rex ,50.72741,7.07477,Frongasse 9 ,http://www.rex-filmbuehne.de/ ,Do_Cinema,Arthouse cinema in Bonn Endenich which regularly shows movies in the original version.,"(50.72741, 7.07477)",wikivoyage,red
3,Neue Filmbühne ,50.73937,7.12099, ,http://www.rex-filmbuehne.de/ ,Do_Cinema,Arthouse cinema in Bonn Beuel (Friedrich-Breuer Straße 68) which regularly shows movies in the original version.,"(50.73937, 7.12099)",wikivoyage,red
0,Rheinische Friedrich-Wilhelms-Universität (Universität Bonn) ,50.7337,7.1026, ,http://www.uni-bonn.de/ ,Learn,,"(50.7337, 7.1026)",wikivoyage,red
1,Goethe Institut ,50.73025,7.10538,Lennéstr. 6 ,http://www.goethe.de/ins/de/ort/bon/enindex.htm ,Learn,,"(50.73025, 7.10538)",wikivoyage,red
0,Haribo Factory Store ,50.68892,7.14393,"Friesdorfer Str. 125, 53175 Bonn ",https://www.haribo.com/de-de/aktivitaeten/shops-fabrikverkaeufe ,Buy,"Haribo, the world-famous candy maker, has its headquarters in Bonn (Haribo is an acronym for HAns RIegel BOnn). The new factory store is located near the location of the old factory in Bad Godesberg, 500 m from U-Bahn 16 and 63 Wurzerstraße stop. It has a small exhibition of Haribo memorabilia as well as a huge variety of gummy sweets and gadgets. Entering is a bit of a Charlie-and-the-chocolate-factory moment. There is also a smaller shop close to the University in the city centre.","(50.68892, 7.14393)",wikivoyage,red
1,Supermarkets ,-16.5300704,-68.1563979, , ,Buy,"There is a supermarket at Kaufhof's basement where you can get normal food and many specialties, but it is quite expensive. You can find the ecological supermarket Basic at Maximilianstraße near to the Hauptbahnhof, they also have a snack bar. There is a REWE supermarket at Friedensplatz, a Lidl supermarket in the mall below central station, and an Aldi in the basement of the former Karstadt in Poststrasse. Best place to buy cosmetics is dm (Sternstraße or Friedensplatz) or Rossmann (Sternstraße). ","(-16.5300704, -68.1563979)",wikivoyage,red
2,Comic Shop ,50.73725,7.09902,Oxfordstraße 17 ,http://www.comicshop.de/ ,Buy,"English comics and books, role playing games, card games.","(50.73725, 7.09902)",wikivoyage,red
