,ao_link,lat,lon,itemLabel,ao_description,tier,color,address,url,thingLabel,description,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,articleEN,thing,to_drop_key
4,,25.8951364,82.43987209006801,Badlapur,,wikivoyage,red,,,Go next,"Badlapur ({{km|50}} NE - to get in is by Local Trains (EMU), hourly) &mdash; Fort, Water Park","(25.8951364, 82.43987209006801)",,,,,,,,,"(25.8951364, 82.43987209006801)"
3,,26.19844055,78.74425929503403,Rajapur,,wikivoyage,red,,,Go next,"Rajapur ({{km|350}} S, 8.5 hr) &mdash; Visit the Yeshwantgad, an island fortification","(26.19844055, 78.74425929503403)",,,,,,,,,"(26.19844055, 78.74425929503403)"
2,,17.282607900000002,73.4569787039826,Ratnagiri,,wikivoyage,red,,,Go next,"Ratnagiri ({{km|300}} S, 6-7 hr journey in train from Mumbai, same comfortable using a (A/c & Non A/c) bus) &mdash; Ratnadurga Sea Fort, Thebaw Pagoda Palace","(17.282607900000002, 73.4569787039826)",,,,,,,,,"(17.282607900000002, 73.4569787039826)"
1,,17.5330311,73.5123013,Chiplun,,wikivoyage,red,,,Go next,"Chiplun ({{km|290}} S, on Konkan railway route between Khed & Ratnagiri Stns) &mdash; Here are the Chiveli Vagheshwari Temple and the Pandavas Caves","(17.5330311, 73.5123013)",,,,,,,,,"(17.5330311, 73.5123013)"
0,,19.209383,73.1855678,Ambernath,,wikivoyage,red,,,Go next,Ambernath ({{km|55}} NE - take a train to here) &mdash;  See the Lord Shiva Temple (16th century),"(19.209383, 73.1855678)",,,,,,,,,"(19.209383, 73.1855678)"
27,,19.06534,72.86811,United States ,,wikivoyage,red,"Lincoln House, 78 Bhulabhai Desai Rd ",https://in.usembassy.gov/embassy-consulates/mumbai/ ,Cope_Foreign missions,"- Established in 1838. Former the consulate functioned from Wankaner House, later renamed Lincoln House, at Breach Candy in south Mumbai since 1950. (The consular residence was Washington House on Altamount Road). The building, declared as a heritage site, is an erstwhile palace of Maharaja Vakaner. The palace was handed over to the U.S. consulate by the Maharaja to raise funds to pay off his taxes, after India became independent. In 2002, the consulate shifted its office to northern suburbs owing to security reasons.","(19.06534, 72.86811)",,,,,,,,,"(19.06534, 72.86811)"
14,,18.9666111,72.8092852,Indonesia ,,wikivoyage,red,"19 Altamount Rd, Cumballa Hill ",https://www.kemlu.go.id/mumbai/en/default.aspx ,Cope_Foreign missions,,"(18.9666111, 72.8092852)",,,,,,,,,"(18.9666111, 72.8092852)"
12,,18.9253,72.82116,Germany Consulate General,,wikivoyage,red,"Hoechst House, 10th Floor, 193 Backbay Reclamation (Vinay K Shah Marg), Nariman Point ",http://www.india.diplo.de/Vertretung/indien/en/05__Mumbai/Mumbai.html ,Cope_Foreign missions,,"(18.9253, 72.82116)",,,,,,,,,"(18.9253, 72.82116)"
11,,18.92498,72.82072,Germany Visa and Consular Department,,wikivoyage,red,"Arcadia Bldg, Ground Floor, Nariman Point ",http://www.mumbai.diplo.de/ ,Cope_Foreign missions,,"(18.92498, 72.82072)",,,,,,,,,"(18.92498, 72.82072)"
10,,18.92609,72.81976,France ,,wikivoyage,red,"Hoechst House, 7F, Nariman Point ",http://www.consulfrance-bombay.org/ ,Cope_Foreign missions,,"(18.92609, 72.81976)",,,,,,,,,"(18.92609, 72.81976)"
6,,18.92339,72.82347,China ,,wikivoyage,red,"9F, Hoechst House, 193 Backbay Reclamation, Nariman Point ",http://mumbai.china-consulate.org/eng/ ,Cope_Foreign missions,,"(18.92339, 72.82347)",,,,,,,,,"(18.92339, 72.82347)"
4,,18.92374,72.82379,Brazil ,,wikivoyage,red,"Units 113 & 114, Free Press House, 11F, Free Press Journal Marg, Nariman Point ",http://mumbai.itamaraty.gov.br/en-us/ ,Cope_Foreign missions,,"(18.92374, 72.82379)",,,,,,,,,"(18.92374, 72.82379)"
3,,19.06442,72.86498,Belgium ,,wikivoyage,red,"TCG Financial Centre, 7th floor, C-53, G-Block, Bandra-Kurla Complex, Bandra(E) ",http://diplomatie.belgium.be/india/ ,Cope_Foreign missions,,"(19.06442, 72.86498)",,,,,,,,,"(19.06442, 72.86498)"
5,,18.9404,72.8378,St. George Hospital ,,wikivoyage,red, ,http://www.stgeorgeshospital.in/ ,Cope_Hospitals,,"(18.9404, 72.8378)",,,,,,,,,"(18.9404, 72.8378)"
4,,18.964143,72.83475,Sir Jamshedjee Jeejeebhoy Hospital ,,wikivoyage,red, ,http://www.gmcjjh.org ,Cope_Hospitals,,"(18.964143, 72.83475)",,,,,,,,,"(18.964143, 72.83475)"
3,,19.0017,72.8418,King Edward Memorial Hospital ,,wikivoyage,red, ,http://www.kem.edu/ ,Cope_Hospitals,,"(19.0017, 72.8418)",,,,,,,,,"(19.0017, 72.8418)"
2,,18.9446,72.8314,Gokuldas Tejpal Hospital ,,wikivoyage,red, , ,Cope_Hospitals,,"(18.9446, 72.8314)",,,,,,,,,"(18.9446, 72.8314)"
1,,18.9422,72.8321,Cama Hospital ,,wikivoyage,red, , ,Cope_Hospitals,,"(18.9422, 72.8321)",,,,,,,,,"(18.9422, 72.8321)"
0,,19.0094817,72.8376614,Bai Sakarbai Dinshaw Petit Hospital for Animals ,,wikivoyage,red,Parel , ,Cope_Hospitals,The Bombay Society for the Prevention of Cruelty to Animals (SPCA) is also headquartered here. Their ambulance rushes in answer to any call of distress to animals.,"(19.0094817, 72.8376614)",,,,,,,,,"(19.0094817, 72.8376614)"
1,,18.9733536,72.82810491917377,--,,wikivoyage,red,,,Cope_Maps,,"(18.9733536, 72.82810491917377)",,,,,,,,,"(18.9733536, 72.82810491917377)"
1,,19.0785451,72.878176,--,,wikivoyage,red,,,Cope,,"(19.0785451, 72.878176)",,,,,,,,,"(19.0785451, 72.878176)"
2,,19.0168446,72.81690232699151,Coast Guard,,wikivoyage,red,,,Stay safe_Emergency numbers_Air Ambulance,,"(19.0168446, 72.81690232699151)",,,,,,,,,"(19.0168446, 72.81690232699151)"
1,,19.084449,72.885989,Fire Station,,wikivoyage,red,,,Stay safe_Emergency numbers_Air Ambulance,,"(19.084449, 72.885989)",,,,,,,,,"(19.084449, 72.885989)"
0,,51.4432708,0.3226384,Domestic/International ,,wikivoyage,red,,http://www.vibha.info/,Stay safe_Emergency numbers_Air Ambulance,,"(51.4432708, 0.3226384)",,,,,,,,,"(51.4432708, 0.3226384)"
1,,18.9396869,72.8349379,C.S.T ,,wikivoyage,red,, ,Stay safe_Emergency numbers_Railways,,"(18.9396869, 72.8349379)",,,,,,,,,"(18.9396869, 72.8349379)"
0,,18.9354797,72.8271741,Churchgate ,,wikivoyage,red,, ,Stay safe_Emergency numbers_Railways,,"(18.9354797, 72.8271741)",,,,,,,,,"(18.9354797, 72.8271741)"
2,,18.961555099999998,72.81283715000001,Traffic Police ,,wikivoyage,red, ,http://www.trafficpolicemumbai.org ,Stay safe_Emergency numbers,,"(18.961555099999998, 72.81283715000001)",,,,,,,,,"(18.961555099999998, 72.81283715000001)"
1,,18.946542649999998,72.83311436811869,Mumbai Police ,,wikivoyage,red, ,http://www.mumbaipolice.org ,Stay safe_Emergency numbers,,"(18.946542649999998, 72.83311436811869)",,,,,,,,,"(18.946542649999998, 72.83311436811869)"
1,,18.914195,72.824131,Cafe ,,wikivoyage,red, ,https://www.facebook.com/pages/Leopold-Cafe/112207345458725 ,Eat_International brands_Regional Indian,"Leopold and Cafe Mondegar (both near Regal Cinema, Colaba) are great places to while away time, eat cheap, and get a beer. Mocha (chain) is popular with the younger crowd. Deliciae, the dessert cafe which has some of the best desserts in town, next to Olive Restaurant in Khar.","(18.914195, 72.824131)",,,,,,,,,"(18.914195, 72.824131)"
0,,19.05456825,72.85058756843847,California Pizza Kitchen ,,wikivoyage,red,3 North Ave , ,Eat_International brands,"Maker Maxity, Bandra Kurla Complex, Bandra (East).","(19.05456825, 72.85058756843847)",,,,,,,,,"(19.05456825, 72.85058756843847)"
4,,19.1930221,73.10434312662221,Kalyan,,wikivoyage,red,,,Get around_By bus,'''KDMT''' (Kalyan Dombivali Municipal Transport) operates in the Kalyan-Dombivli Area with a few connections to Navi Mumbai.,"(19.1930221, 73.10434312662221)",,,,,,,,,"(19.1930221, 73.10434312662221)"
3,,29.8990694,-81.3152987,ST Buses ,,wikivoyage,red, , ,Get in_By bus,"Operates services to Mumbai from various cities in Maharashtra. Mumbai Central is the  most important Terminus in the city. All major cities in Maharashtra and nearby states are connected through Mumbai Central Terminus. The other important ST depots are at Parel, Nehru Nagar-Kurla, and Borivali. You can get buses for all over Maharashtra from these depots. But from Mumbai Central you would get buses any time as well as other State Transport buses. Quality varies.","(29.8990694, -81.3152987)",,,,,,,,,"(29.8990694, -81.3152987)"
1,,19.1169889,72.8550404,Udaipur,,wikivoyage,red,,,Get in_By bus,"'''Private Buses''' There also exist numerous private bus operators who operate a large number of services from/to Mumbai from most major cities like Udaipur, Ajmer, Ahmedabad, Vadodara, Surat, Indore, Nashik, Aurangabad, Hyderabad, Belgaum, Hubli, Bangalore, Mangalore, Trichur and Goa. For Pune, buses depart every 10 minutes. Crawford Market, Dadar T.T., Sion, Chembur and Borivili are the main starting points. Some of the reliable private operators are - National,Neeta, Sharma, VRL, Konduskar, Dolphin, Paulo and Southern Travels.","(19.1169889, 72.8550404)",,,,,,,,,"(19.1169889, 72.8550404)"
1,,20.5786388,77.6588926,Amravati,,wikivoyage,red,,,Get in_By car,"'''From Maharashtra State''': Amravati ({{km|669}}), Ahmednagar ({{km|254}}), Nagpur ({{km|824}}), Pune ({{km|151}}, 2½-3 hr)","(20.5786388, 77.6588926)",,,,,,,,,"(20.5786388, 77.6588926)"
0,,19.0904232,72.9221547,Ahmedabad,,wikivoyage,red,,,Get in_By car,"'''From other states''': Ahmedabad ({{km|524}}, 10 hr), Bangalore ({{km|982}}), Chennai  ({{km|1334}}), Kochi ({{km|1427}}), Goa ({{km|583}}, 11 hr),  Hyderabad ({{km|711}}, 14 hr), Mangalore ({{km|892}}), New Delhi ({{km|1402}})","(19.0904232, 72.9221547)",,,,,,,,,"(19.0904232, 72.9221547)"
4,,19.0646508,72.8416964,Bandra Terminus ,,wikivoyage,red, , ,Get in_By train,,"(19.0646508, 72.8416964)",,,,,,,,,"(19.0646508, 72.8416964)"
3,,19.0694658,72.8919779,Lokmanya Tilak Terminus ,,wikivoyage,red, , ,Get in_By train,Also known under its former name '''Kurla Terminus'''.,"(19.0694658, 72.8919779)",,,,,,,,,"(19.0694658, 72.8919779)"
2,,19.019282,72.8428757,Dadar railway station ,,wikivoyage,red, , ,Get in_By train,Terminus for trains on the Konkan railway from [[Goa]] and [[Mangalore]].,"(19.019282, 72.8428757)",,,,,,,,,"(19.019282, 72.8428757)"
1,,18.9695855,72.8193152,Mumbai Central railway station ,,wikivoyage,red, , ,Get in_By train,"The other major railway terminus in central Mumbai, trains from [[Western India","(18.9695855, 72.8193152)",,,,,,,,,"(18.9695855, 72.8193152)"
0,,18.9414186,72.83543276138232,Chhatrapati Shivaji Maharaj Terminus ,,wikivoyage,red, , ,Get in_By train,"Completed during the British Raj in 1888, this architectural masterpiece is a [[UNESCO World Heritage Site]] and worth a visit even if you are not catching a train. Formerly named '''Victoria Terminus''' it was renamed in 1996 to honor '''Shivaji''', founder of the Maratha Empire. Most long-distance services from [[Southern India]], [[Eastern India]] and parts of Northern India terminate here.","(18.9414186, 72.83543276138232)",,,,,,,,,"(18.9414186, 72.83543276138232)"
2,,19.252836,72.78315,Dinu Beach Resort ,,wikivoyage,red, , ,Sleep_Splurge,,"(19.252836, 72.78315)",,,,,,,,,"(19.252836, 72.78315)"
1,,19.1612,72.784,The Retreat ,,wikivoyage,red,"Erangal Beach, Madh-Marve Road, Malad (W) ",http://www.mumbainet.com/hotels/retreat/index.htm ,Sleep_Splurge,A five-star beach facing hotel. ,"(19.1612, 72.784)",,,,,,,,,"(19.1612, 72.784)"
0,,19.1734,72.79605,The Resort ,,wikivoyage,red,"11, Madh-Marve Rd, Aksa Beach, Malad W ",http://www.theresortmumbai.com ,Sleep_Splurge,"One of the most popular resorts in the city. The rooms are warmly decorated with Wi-Fi access, flat-screen TVs, views of the sea, plush bathrooms, a restaurant, a coffee shop and a lagoon-style outdoor swimming pool.","(19.1734, 72.79605)",,,,,,,,,"(19.1734, 72.79605)"
0,,19.1654,72.7854,Blue Balerina ,,wikivoyage,red,"Erangal Beach, Madh Marve Road, Malad West, Malad West, Marve Rd, Chikuwadi, Malad West ", ,Sleep_Mid-range, ,"(19.1654, 72.7854)",,,,,,,,,"(19.1654, 72.7854)"
0,,19.2404,72.7812,Tourist Resort,,wikivoyage,red," Vairala Talao, Gorai Beach, Uttan Road, Borivali West ",,Sleep, Working hours: M-Sa 7AM-11PM ,"(19.2404, 72.7812)",,,,,,,,,"(19.2404, 72.7812)"
6,,19.0976034,72.9071751,--,,wikivoyage,red,,,Eat,,"(19.0976034, 72.9071751)",,,,,,,,,"(19.0976034, 72.9071751)"
3,,19.1738,72.8604,Oberoi Mall ,,wikivoyage,red,"Dindoshi, Goregaon East, Oberoi Garden City ",http://www.oberoimall.com/ ,Buy,It offers the upmarket shopper over 500 brands under one roof. ,"(19.1738, 72.8604)",,,,,,,,,"(19.1738, 72.8604)"
2,,19.17323,72.83505,Inorbit Mall ,,wikivoyage,red, , ,Buy,"The largest mall in Mumbai. There are movie theatres in the mall and various international brand stores. You can also use the mall property for your morning walks at no cost. Avoid going on weekends and holidays, especially in the evening.","(19.17323, 72.83505)",,,,,,,,,"(19.17323, 72.83505)"
1,,19.1847,72.8349,Infiniti Mall ,,wikivoyage,red,"Link Road, Malad West ",http://www.infinitimall.com/ ,Buy,"There are various areas for shopping, multiplex theatre complex, entertainment & games, food court, recreational area, multipurpose hall/ unit, offices, storage, parking, services, etc.","(19.1847, 72.8349)",,,,,,,,,"(19.1847, 72.8349)"
0,,19.2035,72.8538,Growels 101 ,,wikivoyage,red,"Akurli Rd, off Western Express Hwy, Kandivali East ",http://www.growelsplusplus.com/ ,Buy, Four-level shopping centre. ,"(19.2035, 72.8538)",,,,,,,,,"(19.2035, 72.8538)"
3,,19.27003,72.781074,Uttan Beach ,,wikivoyage,red, , ,Do_Beaches,Mainly known for its fishing activities. It is not very clean. A n early morning visit can provide an insight into the life of the local fishing community.,"(19.27003, 72.781074)",,,,,,,,,"(19.27003, 72.781074)"
2,,19.250057,72.782021,Gorai Beach ,,wikivoyage,red,Western end of Borivali , ,Do_Beaches,On holidays the beach is full of visitors and locals. Plenty of accommodation options are also available at Gorai Beach.,"(19.250057, 72.782021)",,,,,,,,,"(19.250057, 72.782021)"
1,,19.1973,72.7968,Marvé Beach ,,wikivoyage,red, , ,Do_Beaches,"Movement on Marvé Beach is restricted due to its narrow width as well as the presence of the Indian Naval base, INS Hamla. The beach is not safe for swimming due to the presence of very swift currents and sinking sand. This is also a good spot for fishing. You will find local boys with strings in hand. They use bait like shells, shrimp and earthworms to lure fish into their hooks. It is a good pass time and hobby.","(19.1973, 72.7968)",,,,,,,,,"(19.1973, 72.7968)"
0,,19.21,72.79,Manori Beach ,,wikivoyage,red, , ,Do_Beaches,"This is a small beautiful island with nice beaches, but dangerous for swimming. The beach on the northern side is cleaner. This is a nice place to spend the weekend though. Apart from beachside shacks, there are two resorts in Manori designed like Spanish villas. It has a couple of hotels (see under Sleep) Make sure to try the seafood here. Also be sure to book in advance, as the rooms get filled up, especially over the weekend.","(19.21, 72.79)",,,,,,,,,"(19.21, 72.79)"
2,,19.2264,72.85, Veer Savarkar Udayan Garden ,,wikivoyage,red,Borivali , ,Do,"an ideal place for all which have facilities like jogging track, boating area, kids play garden, skating, etc. ","(19.2264, 72.85)",,,,,,,,,"(19.2264, 72.85)"
1,,19.2329,72.8545,Prabodhankar Thackrey Auditorium ,,wikivoyage,red,"Sodawala Ln, Borivali ", ,Do," Where a variety of dramas, plays are scheduled (in Gujarati, Hindi, Marathi & also in some south Indian languages). ","(19.2329, 72.8545)",,,,,,,,,"(19.2329, 72.8545)"
0,,19.2308,72.8059,Essel World ,,wikivoyage,red,"Global Pagoda Road, Gorai Creek, western coast of Borivali ",http://www.esselworld.com/ ,Do,"It is an amusement park. There are 34 major rides not to include the coin operated games & a mini club. There are over 30,000 specimens in their botanical gardens and 79 rides and slides & Essel World attracts almost 1.8 million visitors each year.","(19.2308, 72.8059)",,,,,,,,,"(19.2308, 72.8059)"
0,,19.2083,72.9064,Kanheri Caves ,,wikivoyage,red, , ,See_Sanjay Gandhi National Park,A complex of 109 Buddhist temples cut out of rock. It is a nice place to visit for history enthusiasts.,"(19.2083, 72.9064)",,,,,,,,,"(19.2083, 72.9064)"
0,,19.25,72.9167,Sanjay Gandhi National Park ,,wikivoyage,red,Borivali E ,https://sgnp.maharashtra.gov.in/ ,See_Sanjay Gandhi National Park,"Check out this relatively unknown national park in Borivali, serving as the lungs of Mumbai. It's quite famous for its leopards and the caves inside the park. Personal vehicles are allowed up to the Kanheri Caves by paying a nominal amount at the main gate.","(19.25, 72.9167)",,,,,,,,,"(19.25, 72.9167)"
2,,19.270139,72.78251,Velankanni Church ,,wikivoyage,red, , ,See_Places of worship_Churches,"Built-in 1544, ten years after the Bombay-Bassein coastal tracts were ceded by the Sultan of Cambay, Bahadur Shah, to Portugal by the Treaty of Bassein. The present structure is not old.","(19.270139, 72.78251)",,,,,,,,,"(19.270139, 72.78251)"
1,,19.244444,72.853056,Our Lady of the Immaculate Conception Church ,,wikivoyage,red, ,http://www.icchurchborivali.org ,See_Places of worship_Churches,"Built in 1544, ten years after the Bombay-Bassein coastal tracts were ceded by the Sultan of Cambay, Bahadur Shah, to Portugal by the Treaty of Bassein.","(19.244444, 72.853056)",,,,,,,,,"(19.244444, 72.853056)"
0,,19.2914588,72.8013754,Our Lady of Bethlehem Church ,,wikivoyage,red,"Uttan Rd, Dongri, Uttan, Mira Bhayandar ", ,See_Places of worship_Churches,Built in 1613 this is one of the oldest churches of Mumbai.,"(19.2914588, 72.8013754)",,,,,,,,,"(19.2914588, 72.8013754)"
1,,19.2287,72.8424,Vazira Naka ,,wikivoyage,red,"—Lokmanya Tilak Rd, Borivali West",,See_Places of worship_Temples,This is very well known for Siddhivinayak Temple of Lord Ganesh (Swayambhu). ,"(19.2287, 72.8424)",,,,,,,,,"(19.2287, 72.8424)"
0,,19.2318,72.861,Temple of Sai-Dham ,,wikivoyage,red,"Mahatma Gandhi Rd, Sukarwadi, Borivali East", ,See_Places of worship_Temples,There are many Hindu deities worshipped under one roof. ,"(19.2318, 72.861)",,,,,,,,,"(19.2318, 72.861)"
1,,19.2962,72.8883,Ghodbunder Fort ,,wikivoyage,red,"Ghodbunder, Mira Bhayandar ", ,See_Forts,Medieval fort built by the Portuguese between the 16th and 18th centuries. It was later occupied by the Maratha Empire and then served as the district headquarters of the East India Company. The word Ghodbunder literally means 'horse port' and the place was used for horse-trading between the Portuguese and Arabs. The fort is a protected monument under the Archaeological Survey of India (ASI).,"(19.2962, 72.8883)",,,,,,,,,"(19.2962, 72.8883)"
0,,19.309281,72.7922,Dongri Fort ,,wikivoyage,red,Dongri , ,See_Forts,A fort in a dilapidated condition and is declared 'endangered'.,"(19.309281, 72.7922)",,,,,,,,,"(19.309281, 72.7922)"
1,,19.245111,72.853225,Mandapeshwar Caves ,,wikivoyage,red,"Laxman Mhatre Rd, Mandapeshwar, Dahisar W ", ,See,,"(19.245111, 72.853225)",,,,,,,,,"(19.245111, 72.853225)"
0,,19.1613,72.8867,Film City ,,wikivoyage,red, , ,See,The film studio complex that serves as the venue for many shootings for [[Bollywood tourism,"(19.1613, 72.8867)",,,,,,,,,"(19.1613, 72.8867)"
3,,19.1347,72.90152,The Westin Mumbai Powai Lake ,,wikivoyage,red, , ,Sleep_Splurge,,"(19.1347, 72.90152)",,,,,,,,,"(19.1347, 72.90152)"
2,,19.13419,72.9011,Renaissance Mumbai Convention Centre Hotel ,,wikivoyage,red, , ,Sleep_Splurge,,"(19.13419, 72.9011)",,,,,,,,,"(19.13419, 72.9011)"
1,,19.132896,72.89943,Marriott Executive Apartments Lakeside Chalet ,,wikivoyage,red, ,https://www.marriott.com/BOMBR ,Sleep_Splurge,Two and three bedrooms.,"(19.132896, 72.89943)",,,,,,,,,"(19.132896, 72.89943)"
0,,19.10312,72.88713,Holiday Inn Mumbai International Airport ,,wikivoyage,red,"Sakinaka Junction, Andheri Kurla Rd, Andheri E ",http://www.ihg.com/holidayinn/hotels/us/en/mumbai/bomap/hoteldetail ,Sleep_Splurge,"Modern hotel with quality rooms. Good western and Indian breakfast. Local area and view from room not attractive but view from pool on roof is impressive. Less than 15 minute drive (can call hotel to arrange pick-up, although can be fee) from Terminal 2.","(19.10312, 72.88713)",,,,,,,,,"(19.10312, 72.88713)"
0,,19.10211,72.88611,Hotel Leafio ,,wikivoyage,red, , ,Sleep_Budget,,"(19.10211, 72.88611)",,,,,,,,,"(19.10211, 72.88611)"
2,,19.117802,72.91126,Rodas Boutique Hotel ,,wikivoyage,red,"Central Avenue, Hiranandani Gardens, Powai ",http://www.rodashotel.com/ ,Sleep,,"(19.117802, 72.91126)",,,,,,,,,"(19.117802, 72.91126)"
1,,19.056274,72.89102,Club Emerald ,,wikivoyage,red, , ,Sleep,,"(19.056274, 72.89102)",,,,,,,,,"(19.056274, 72.89102)"
0,,19.121313,72.909782,The Beatle Hotel ,,wikivoyage,red,"JMJ House, Hiranandani ",http://www.beatlehotels.com/ ,Sleep,,"(19.121313, 72.909782)",,,,,,,,,"(19.121313, 72.909782)"
7,,19.0908,72.9077,R City Mall ,,wikivoyage,red,"LBS Marg, Ghatkopar W ",http://www.rcity.co.in/ ,Buy,"It has over 194 shopping stores, over 66 food outlets, 10 entertainment areas, 3 ATM facilities, 13 service areas and an INOX cinema hall.","(19.0908, 72.9077)",,,,,,,,,"(19.0908, 72.9077)"
6,,19.0863,72.8885,Phoenix Marketcity ,,wikivoyage,red,Kamani Kurla ,http://www.phoenixmarketcity.com/mumbai ,Buy,One of the biggest malls in Asia.,"(19.0863, 72.8885)",,,,,,,,,"(19.0863, 72.8885)"
4,,19.03145,72.8812,IMAX dome theater ,,wikivoyage,red,"Bit outskirts on Eastern Express Highway, Near wadala truck terminus", ,Do,"The world's largest IMAX dome theater, in 2008.","(19.03145, 72.8812)",,,,,,,,,"(19.03145, 72.8812)"
3,,19.059357,72.902929,Chembur Gymkhana ,,wikivoyage,red,"16th Rd, Chembur ", ,Do,"For members only. 79 ft. x 45 ft. Swimming Pool, Two cafeterias by different contractors, gymnasium, tennis courts, indoor badminton, Has a 62,957 sq.ft (1.445 acres) ground used for cricket and seasonal wedding parties.","(19.059357, 72.902929)",,,,,,,,,"(19.059357, 72.902929)"
0,,19.12368,72.913,Hakone Games Park ,,wikivoyage,red,"Central Ave, Hiranandani Gardens ",http://www.hakonefun.com/ ,Do,"Hakone is a combination of Special Sports, Entertainment and Leisure at Powai. It is one of the most desirable attractions in Mumbai. The variety of attractions spanning rides and aqua pad boats for children as well as go-karting, paintball, and dashing cars for adults are as popular as the mini train ride for infants.","(19.12368, 72.913)",,,,,,,,,"(19.12368, 72.913)"
7,,19.02,72.97,Thane Creek ,,wikivoyage,red, , ,See,"One of the two creeks that separate Mumbai from the rest of India. It is known for various flamingo species, especially greater flamingoes and lesser flamingoes. Alongside the flamingoes, 167 species of birds and small mammals like golden jackals are also present.","(19.02, 72.97)",,,,,,,,,"(19.02, 72.97)"
6,,19.13,72.91,Powai Lake ,,wikivoyage,red, , ,See,One of the few things to see in this area is Powai Lake. It's a man-made lake that used to serve as the city's water supply. The lake now serves as a tourist destination though it isn't really that spectacular. There are many crocodiles on the lakeside.,"(19.13, 72.91)",,,,,,,,,"(19.13, 72.91)"
5,,19.094,72.9036,Old Machi (fish) Market,,wikivoyage,red,"RB Kadam Road area, Bhatwadi, Ghatkopar (West)", ,See,"It was once called horseshoe valley, because of the horseshoe-shaped hills surrounding the area.","(19.094, 72.9036)",,,,,,,,,"(19.094, 72.9036)"
